	fpr	tpr	threshold	train_type	disease
0	0.0	0.058823529411764705	8.752039120381317	train	PanCan
1	0.0	0.11764705882352941	8.280737041293198	train	PanCan
2	0.0	0.17647058823529413	3.8191561356769683	train	PanCan
3	0.0	0.23529411764705882	2.9073514088581214	train	PanCan
4	0.0	0.29411764705882354	2.518131587804873	train	PanCan
5	0.0	0.35294117647058826	2.4663955864366156	train	PanCan
6	0.0	0.4117647058823529	2.3936819163963516	train	PanCan
7	0.0	0.47058823529411764	2.079268850470556	train	PanCan
8	0.0	0.5294117647058824	2.0086226687355277	train	PanCan
9	0.0	0.5882352941176471	1.9140872740706185	train	PanCan
10	0.0	0.6470588235294118	1.7971891623166796	train	PanCan
11	0.0	0.7058823529411765	1.7931115895837517	train	PanCan
12	0.0	0.7647058823529411	1.65148090044582	train	PanCan
13	0.0	0.8235294117647058	1.4844374000038707	train	PanCan
14	0.0	0.8823529411764706	1.3464410550709838	train	PanCan
15	0.0053475935828877	0.8823529411764706	1.3393636752044942	train	PanCan
16	0.0106951871657754	0.8823529411764706	1.299752753101541	train	PanCan
17	0.0106951871657754	0.9411764705882353	1.1727860756517061	train	PanCan
18	0.016042780748663103	0.9411764705882353	0.9573869071808574	train	PanCan
19	0.016042780748663103	1.0	0.8648891645383799	train	PanCan
20	0.0213903743315508	1.0	0.863589824243209	train	PanCan
21	0.026737967914438502	1.0	0.822203270668757	train	PanCan
22	0.03208556149732621	1.0	0.8165124646787782	train	PanCan
23	0.0374331550802139	1.0	0.7589976958670146	train	PanCan
24	0.0427807486631016	1.0	0.7033189025406686	train	PanCan
25	0.0481283422459893	1.0	0.6059854552765249	train	PanCan
26	0.053475935828877004	1.0	0.6056088112934047	train	PanCan
27	0.058823529411764705	1.0	0.562229079061854	train	PanCan
28	0.06417112299465241	1.0	0.5158947604269107	train	PanCan
29	0.06951871657754011	1.0	0.5139150135837154	train	PanCan
30	0.0748663101604278	1.0	0.5032211913273754	train	PanCan
31	0.08021390374331551	1.0	0.5001100844891477	train	PanCan
32	0.0855614973262032	1.0	0.4499514741325429	train	PanCan
33	0.09090909090909091	1.0	0.3987597367793144	train	PanCan
34	0.0962566844919786	1.0	0.38809374247580664	train	PanCan
35	0.10160427807486631	1.0	0.38128621581935873	train	PanCan
36	0.10695187165775401	1.0	0.36927452447149844	train	PanCan
37	0.11229946524064172	1.0	0.31991895819676086	train	PanCan
38	0.11764705882352941	1.0	0.28648970194696166	train	PanCan
39	0.12299465240641712	1.0	0.2610289421169404	train	PanCan
40	0.12834224598930483	1.0	0.21493949326915518	train	PanCan
41	0.13368983957219252	1.0	0.21469095368955637	train	PanCan
42	0.13903743315508021	1.0	0.15753052764899156	train	PanCan
43	0.1443850267379679	1.0	0.13538709132900506	train	PanCan
44	0.1497326203208556	1.0	0.11814931096635217	train	PanCan
45	0.15508021390374332	1.0	0.11461649606893376	train	PanCan
46	0.16042780748663102	1.0	0.11090692534468405	train	PanCan
47	0.1657754010695187	1.0	0.10950456111679585	train	PanCan
48	0.1711229946524064	1.0	0.08004235344005473	train	PanCan
49	0.17647058823529413	1.0	0.0492762703700097	train	PanCan
50	0.18181818181818182	1.0	0.03413784141832332	train	PanCan
51	0.18716577540106952	1.0	0.030598317172469858	train	PanCan
52	0.1925133689839572	1.0	0.0127479500821438	train	PanCan
53	0.19786096256684493	1.0	0.012234470423231225	train	PanCan
54	0.20320855614973263	1.0	-0.05308811951414938	train	PanCan
55	0.20855614973262032	1.0	-0.05553229217676481	train	PanCan
56	0.21390374331550802	1.0	-0.07421302717623057	train	PanCan
57	0.2192513368983957	1.0	-0.08220176680665181	train	PanCan
58	0.22459893048128343	1.0	-0.09304476224745384	train	PanCan
59	0.22994652406417113	1.0	-0.11671093599909621	train	PanCan
60	0.23529411764705882	1.0	-0.12351034990499088	train	PanCan
61	0.24064171122994651	1.0	-0.1314074445303156	train	PanCan
62	0.24598930481283424	1.0	-0.139860841960742	train	PanCan
63	0.25133689839572193	1.0	-0.14090569498319672	train	PanCan
64	0.25668449197860965	1.0	-0.14905527874809288	train	PanCan
65	0.2620320855614973	1.0	-0.1721808827371295	train	PanCan
66	0.26737967914438504	1.0	-0.1751329432030303	train	PanCan
67	0.2727272727272727	1.0	-0.1864155398694144	train	PanCan
68	0.27807486631016043	1.0	-0.19108588317141273	train	PanCan
69	0.28342245989304815	1.0	-0.21210999506828598	train	PanCan
70	0.2887700534759358	1.0	-0.21357802039822948	train	PanCan
71	0.29411764705882354	1.0	-0.2146873755558102	train	PanCan
72	0.2994652406417112	1.0	-0.2307326624397411	train	PanCan
73	0.3048128342245989	1.0	-0.25022911755232646	train	PanCan
74	0.31016042780748665	1.0	-0.25146134397721276	train	PanCan
75	0.3155080213903743	1.0	-0.2526435499420089	train	PanCan
76	0.32085561497326204	1.0	-0.2650846738697391	train	PanCan
77	0.32620320855614976	1.0	-0.2691884486031616	train	PanCan
78	0.3315508021390374	1.0	-0.2954372743379473	train	PanCan
79	0.33689839572192515	1.0	-0.3038495161466813	train	PanCan
80	0.3422459893048128	1.0	-0.30939164661263796	train	PanCan
81	0.34759358288770054	1.0	-0.31546175205460447	train	PanCan
82	0.35294117647058826	1.0	-0.33067932144649326	train	PanCan
83	0.3582887700534759	1.0	-0.3363755817795234	train	PanCan
84	0.36363636363636365	1.0	-0.3430256675029403	train	PanCan
85	0.3689839572192513	1.0	-0.3586938450166589	train	PanCan
86	0.37433155080213903	1.0	-0.3588172797236676	train	PanCan
87	0.37967914438502676	1.0	-0.36565071363811275	train	PanCan
